serverId,token,tradeCount,matchedDiffCount,missingDiffCount,firstTradeAt,lastTradeAt
arbitrum,aave,3777,148,3629,2025-08-27 09:20:32.004000+00:00,2025-11-22 09:23:12.114000+00:00
arbitrum,arb,1194,57,1137,2025-08-27 07:33:55.165000+00:00,2025-11-21 22:24:02.036000+00:00
arbitrum,btc,1571,195,1376,2025-08-27 13:42:35.908000+00:00,2025-11-22 15:36:08.461000+00:00
arbitrum,crv,476,1,475,2025-08-27 13:55:04.552000+00:00,2025-11-22 12:10:07.331000+00:00
arbitrum,dai,168,0,168,2025-08-27 09:22:18.953000+00:00,2025-11-21 14:47:40.758000+00:00
arbitrum,eth,5090,304,4786,2025-08-27 07:07:32.780000+00:00,2025-11-22 17:23:21.840000+00:00
arbitrum,gmx,123,0,123,2025-08-27 13:41:07.120000+00:00,2025-10-30 10:14:14.991000+00:00
arbitrum,link,3286,140,3146,2025-08-27 12:18:08.292000+00:00,2025-11-22 13:50:44.126000+00:00
arbitrum,lpt,9,0,9,2025-11-02 10:52:10.674000+00:00,2025-11-03 18:31:54.695000+00:00
arbitrum,pendle,501,33,468,2025-08-27 13:38:42.305000+00:00,2025-11-22 17:23:29.708000+00:00
arbitrum,uni,3771,189,3582,2025-08-27 06:55:37.094000+00:00,2025-11-22 17:09:05.690000+00:00
arbitrum,zro,89,4,85,2025-09-28 09:27:38.467000+00:00,2025-11-22 15:31:42.973000+00:00
