id,curId,ts,buyDiffBps,sellDiffBps,cexVol,serverBuy,serverSell,dexVolume,rejectReason,serverId,diff_ts,token
282,BASE_bio_6a2f,1759136362558,-46,0,11107.0,,,,,base,2025-09-29 08:59:22.558000+00:00,bio
329,BASE_bio_6a2f,1759136362695,-38,-6,11107.0,,,,,base,2025-09-29 08:59:22.695000+00:00,bio
330,BASE_bio_6a2f,1759136363644,-34,-10,11107.0,,,,,base,2025-09-29 08:59:23.644000+00:00,bio
331,BASE_bio_6a2f,1759136365657,-42,-3,11107.0,,,,,base,2025-09-29 08:59:25.657000+00:00,bio
332,BASE_bio_6a2f,1759136367563,-41,-4,11107.0,,,,,base,2025-09-29 08:59:27.563000+00:00,bio
333,BASE_bio_6a2f,1759136373687,-40,-5,11107.0,,,,,base,2025-09-29 08:59:33.687000+00:00,bio
368,BASE_bio_6a2f,1759136379514,-48,2,11107.0,,,,,base,2025-09-29 08:59:39.514000+00:00,bio
369,BASE_bio_6a2f,1759136381488,-47,1,11107.0,,,,,base,2025-09-29 08:59:41.488000+00:00,bio
370,BASE_bio_6a2f,1759136385453,-47,1,11105.0,,,,,base,2025-09-29 08:59:45.453000+00:00,bio
429,BASE_bio_6a2f,1759136389614,-46,0,11105.0,,,,,base,2025-09-29 08:59:49.614000+00:00,bio
430,BASE_bio_6a2f,1759136395741,-36,-8,11115.0,,,,,base,2025-09-29 08:59:55.741000+00:00,bio
467,BASE_bio_6a2f,1759136403029,-43,-2,11115.0,,,,,base,2025-09-29 09:00:03.029000+00:00,bio
468,BASE_bio_6a2f,1759136407867,-43,-2,11453.0,,,,,base,2025-09-29 09:00:07.867000+00:00,bio
