id,curId,ts,buyDiffBps,sellDiffBps,cexVol,serverBuy,serverSell,dexVolume,rejectReason,serverId,diff_ts,token
20,BASE_btc_b7c0,1759136293698,-5,3,23151584.0,,,,,base,2025-09-29 08:58:13.698000+00:00,btc
65,BASE_btc_b7c0,1759136305434,-5,3,23154409.0,,,,,base,2025-09-29 08:58:25.434000+00:00,btc
108,BASE_btc_b7c0,1759136315608,-5,3,23044811.0,,,,,base,2025-09-29 08:58:35.608000+00:00,btc
150,BASE_btc_b7c0,1759136327561,-5,3,22964638.0,,,,,base,2025-09-29 08:58:47.561000+00:00,btc
185,BASE_btc_b7c0,1759136337539,-5,3,22711518.0,,,,,base,2025-09-29 08:58:57.539000+00:00,btc
235,BASE_btc_b7c0,1759136349752,-5,3,22418279.0,,,,,base,2025-09-29 08:59:09.752000+00:00,btc
277,BASE_btc_b7c0,1759136361467,-5,3,22413772.0,,,,,base,2025-09-29 08:59:21.467000+00:00,btc
314,BASE_btc_b7c0,1759136371493,-5,3,22433380.0,,,,,base,2025-09-29 08:59:31.493000+00:00,btc
353,BASE_btc_b7c0,1759136381488,-4,3,22351527.0,,,,,base,2025-09-29 08:59:41.488000+00:00,btc
424,BASE_btc_b7c0,1759136389614,-4,3,22351527.0,,,,,base,2025-09-29 08:59:49.614000+00:00,btc
425,BASE_btc_b7c0,1759136391551,-4,3,22180851.0,,,,,base,2025-09-29 08:59:51.551000+00:00,btc
463,BASE_btc_b7c0,1759136401818,-4,3,21772006.0,,,,,base,2025-09-29 09:00:01.818000+00:00,btc
