serverId,token,tradeCount,matchedDiffCount,missingDiffCount,firstTradeAt,lastTradeAt
base,aave,4995,201,4794,2025-09-17 07:30:20.351000+00:00,2025-11-22 16:51:24.174000+00:00
base,aero,71,0,71,2025-09-17 18:10:30.616000+00:00,2025-11-22 06:44:15.394000+00:00
base,aixbt,102,7,95,2025-10-26 09:51:30.447000+00:00,2025-11-21 18:10:49.457000+00:00
base,avnt,3003,66,2937,2025-09-21 09:29:23.912000+00:00,2025-11-22 14:47:59.188000+00:00
base,bio,3114,80,3034,2025-09-19 14:03:51.697000+00:00,2025-11-22 14:52:04.769000+00:00
base,btc,503,46,457,2025-09-17 17:53:39.889000+00:00,2025-11-22 09:47:18.643000+00:00
base,cake,5135,288,4847,2025-09-17 08:08:34.578000+00:00,2025-11-22 17:27:11.187000+00:00
base,eth,7391,437,6954,2025-09-17 07:28:11.370000+00:00,2025-11-22 17:26:22.428000+00:00
base,fdusd,17,0,17,2025-10-21 15:22:56.606000+00:00,2025-11-17 15:08:48.785000+00:00
base,kaito,215,34,181,2025-10-01 09:20:35.014000+00:00,2025-11-21 18:01:15.580000+00:00
base,lyra,3,0,3,2025-10-19 08:21:09.762000+00:00,2025-10-20 16:00:27.071000+00:00
base,mira,732,0,732,2025-10-01 08:32:24.561000+00:00,2025-11-15 08:51:08.227000+00:00
base,morpho,311,3,308,2025-10-14 13:46:14.583000+00:00,2025-11-21 07:32:59.291000+00:00
base,native,17,0,17,2025-10-15 21:10:34.856000+00:00,2025-11-17 13:50:58.725000+00:00
base,recall,36,0,36,2025-10-19 08:19:20.306000+00:00,2025-11-22 10:54:44.716000+00:00
base,sapien,1680,58,1622,2025-10-30 00:13:41.837000+00:00,2025-11-22 14:46:48.005000+00:00
base,syrup,2,0,2,2025-11-09 14:26:24.948000+00:00,2025-11-11 01:23:52.119000+00:00
base,towns,616,45,571,2025-10-19 11:05:33.309000+00:00,2025-11-22 14:50:36.728000+00:00
base,virtual,156,8,148,2025-09-19 12:33:21.447000+00:00,2025-11-21 16:53:08.849000+00:00
base,wct,15,0,15,2025-11-05 16:59:27.882000+00:00,2025-11-22 12:32:03.643000+00:00
base,zbu,2,0,2,2025-10-22 21:15:13.010000+00:00,2025-11-02 23:42:51.864000+00:00
base,zen,1865,64,1801,2025-10-14 14:43:20.484000+00:00,2025-11-22 13:35:56.201000+00:00
base,zora,24,0,24,2025-09-22 00:37:36.560000+00:00,2025-11-21 12:23:58.538000+00:00
base,zro,244,0,244,2025-09-20 13:16:59.749000+00:00,2025-09-27 13:30:33.165000+00:00
