id,curId,ts,buyDiffBps,sellDiffBps,cexVol,serverBuy,serverSell,dexVolume,rejectReason,serverId,diff_ts,token
21,BASE_eth_0000,1759136293692,-1,1,17137657.0,,,,,base,2025-09-29 08:58:13.692000+00:00,eth
22,BASE_eth_0000,1759136295506,-2,2,17121097.0,,,,,base,2025-09-29 08:58:15.506000+00:00,eth
66,BASE_eth_0000,1759136307411,-2,2,17079418.0,,,,,base,2025-09-29 08:58:27.411000+00:00,eth
109,BASE_eth_0000,1759136317544,-2,1,17057638.0,,,,,base,2025-09-29 08:58:37.544000+00:00,eth
151,BASE_eth_0000,1759136319398,-2,4,17057638.0,,,,,base,2025-09-29 08:58:39.398000+00:00,eth
152,BASE_eth_0000,1759136327561,-2,2,17046850.0,,,,,base,2025-09-29 08:58:47.561000+00:00,eth
186,BASE_eth_0000,1759136339496,-2,1,16948401.0,,,,,base,2025-09-29 08:58:59.496000+00:00,eth
236,BASE_eth_0000,1759136341451,-2,2,16948401.0,,,,,base,2025-09-29 08:59:01.451000+00:00,eth
237,BASE_eth_0000,1759136347142,-4,4,16948401.0,,,,,base,2025-09-29 08:59:07.142000+00:00,eth
238,BASE_eth_0000,1759136347537,-7,8,16948401.0,,,,,base,2025-09-29 08:59:07.537000+00:00,eth
239,BASE_eth_0000,1759136349750,-4,4,18073475.0,,,,,base,2025-09-29 08:59:09.750000+00:00,eth
279,BASE_eth_0000,1759136353971,-7,6,18073475.0,,,,,base,2025-09-29 08:59:13.971000+00:00,eth
280,BASE_eth_0000,1759136355613,-5,3,18073475.0,,,,,base,2025-09-29 08:59:15.613000+00:00,eth
281,BASE_eth_0000,1759136361460,-5,3,18690154.0,,,,,base,2025-09-29 08:59:21.460000+00:00,eth
321,BASE_eth_0000,1759136362075,-9,7,18690154.0,,,,,base,2025-09-29 08:59:22.075000+00:00,eth
322,BASE_eth_0000,1759136363643,-5,4,18690154.0,,,,,base,2025-09-29 08:59:23.643000+00:00,eth
323,BASE_eth_0000,1759136366111,-7,6,18690154.0,,,,,base,2025-09-29 08:59:26.111000+00:00,eth
324,BASE_eth_0000,1759136367563,-4,4,18690154.0,,,,,base,2025-09-29 08:59:27.563000+00:00,eth
325,BASE_eth_0000,1759136370963,-6,5,18690154.0,,,,,base,2025-09-29 08:59:30.963000+00:00,eth
326,BASE_eth_0000,1759136371275,-7,6,18690154.0,,,,,base,2025-09-29 08:59:31.275000+00:00,eth
327,BASE_eth_0000,1759136371488,-7,6,19974055.0,,,,,base,2025-09-29 08:59:31.488000+00:00,eth
363,BASE_eth_0000,1759136371836,-5,4,19974055.0,,,,,base,2025-09-29 08:59:31.836000+00:00,eth
364,BASE_eth_0000,1759136380459,-4,4,19974055.0,,,,,base,2025-09-29 08:59:40.459000+00:00,eth
365,BASE_eth_0000,1759136380750,-3,2,19974055.0,,,,,base,2025-09-29 08:59:40.750000+00:00,eth
366,BASE_eth_0000,1759136380811,-4,3,19974055.0,,,,,base,2025-09-29 08:59:40.811000+00:00,eth
367,BASE_eth_0000,1759136381486,-4,2,20567267.0,,,,,base,2025-09-29 08:59:41.486000+00:00,eth
426,BASE_eth_0000,1759136387895,-7,6,20567267.0,,,,,base,2025-09-29 08:59:47.895000+00:00,eth
427,BASE_eth_0000,1759136389616,-5,4,20567267.0,,,,,base,2025-09-29 08:59:49.616000+00:00,eth
428,BASE_eth_0000,1759136391552,-5,3,20768513.0,,,,,base,2025-09-29 08:59:51.552000+00:00,eth
464,BASE_eth_0000,1759136400203,-6,5,20768513.0,,,,,base,2025-09-29 09:00:00.203000+00:00,eth
465,BASE_eth_0000,1759136401814,-5,5,21118739.0,,,,,base,2025-09-29 09:00:01.814000+00:00,eth
