buyDiffBps,sellDiffBps,Diff,DexSlip,CexSlip,netProfit,isProfitable,executedQtyDst,executedDstPrice,executedQtySrc,executedSrcPrice
0.17,0,0.17,0.07,0.35,-0.4802278186458107,0,51.71304973466713,3.4698,51.71304973466713,3.4783924352350484
0.17,0,0.17,0.07,0.19,-0.18559160419595336,0,52.51671055044099,3.4815,52.51671055044099,3.4843376533312487
0.15,0,0.15,0.1,0.05,-0.08568970357955182,0,101.94267422750943,3.4691,101.94267422750943,3.469246747546701
0.12,0,0.12,0.05,0.07,-0.16962483521218497,0,2.6980563175353973,282.14355944036475,2.6980563175353973,282.15
0.11,0,0.11,0.07,0.06,0.0063149074829911556,1,1.9734551496661954,282.2096418528705,1.9734551496661954,282.15
0.13,0,0.13,0.04,0.12,-0.18466506850394374,0,70.76437398953908,3.473,70.76437398953908,3.4749149767982237
0.2,0,0.2,0.17,-0.04,0.8400485869613893,1,180.56571371654428,3.475947504548273,180.56571371654428,3.4706
0.18,0,0.18,0.14,-0.12,0.6240367622754251,1,80.00033274958174,3.476195666216825,80.00033274958174,3.4677
0.17,0,0.17,0.08,0.19,-0.21944752232437234,0,43.75150810479882,3.4682778851080642,43.75150810479882,3.4726
0.14,0,0.14,0.08,0.19,-0.46881476876499134,0,95.80134460944682,3.4684000663518315,95.80134460944682,3.4726
0.16,0,0.16,0.13,0.11,-0.3478618059994969,0,105.75184634108118,3.495109606009941,105.75184634108118,3.4976999999999996
0.15,0,0.15,0.08,0.09,-0.07542126525545322,0,44.61353328967616,3.4962086949543245,44.61353328967616,3.4972
0.23,0,0.23,0.1,0.23,-0.26982349581513737,0,70.37360509477821,3.5081,70.37360509477821,3.5112325376426528
0.15,0,0.15,0.1,0.23,-0.6560157877791281,0,136.75447988226625,3.493801727090318,136.75447988226625,3.4979
0.12,0,0.12,0.1,0.23,-0.31460348835910035,0,53.34092876010153,3.4927005646619604,53.34092876010153,3.4979
0.14,0,0.14,0.06,-0.09,0.451805891853887,1,90.73899433435754,3.5005792970280774,90.73899433435754,3.4948999999999995
0.12,0,0.12,0.07,-0.09,0.14747294944989425,1,35.86047062409514,3.4997123522320406,35.86047062409514,3.4949
0.2,0,0.2,0.08,-0.35,0.9526312388001323,1,62.11910304975668,3.4419,62.11910304975668,3.425876059889979
0.22,0,0.22,0.1,-0.4,2.6397895037906696,1,151.64915184838023,3.4419,151.64915184838023,3.423804404254871
0.15,0,0.15,0.09,0.35,-0.48758266671658806,0,45.95353936159802,3.4071710944389655,45.95353936159802,3.4171
0.13,0,0.13,0.08,0.35,-1.0004555177692656,0,88.28681121610997,3.40644941025033,88.28681121610997,3.4170999999999996
0.15,0,0.15,0.09,0.19,-0.2416882344029001,0,46.751073543074256,3.422133843677282,46.751073543074256,3.4266190999999995
0.15,0,0.15,0.05,-0.19,0.4095873358832408,1,45.289237544622225,3.4075999999999995,45.289237544622225,3.3978746683111916
0.21,0,0.21,0.07,0.31,-0.4136255034660678,0,56.32427657004396,3.3886,56.32427657004396,3.3952659252033555
0.16,0,0.16,0.1,-0.13,1.4210003138045741,1,2.844826079270673,281.74,2.844826079270673,281.1841485947975
0.14,0,0.14,0.07,-0.13,1.0324436222319693,1,1.9722687762590925,281.74,1.9722687762590925,281.1601718158284
0.16,0,0.16,0.04,-0.15,2.05772485743198,1,5787.015016865519,0.13861,5787.015016865519,0.13822670179163785
0.16,0,0.16,0.03,-0.15,2.0885869448792596,1,5787.237715524341,0.13861,5787.237715524341,0.13822138269077908
0.14,0,0.14,0.07,-0.15,1.1870035176604832,1,4100.7633351045115,0.13861,4100.7633351045115,0.1382928188382144
0.11,0,0.11,0.04,-0.12,1.3219472052289136,1,5792.152548789815,0.13836,5792.152548789815,0.138104097269871
0.15,0,0.15,0.07,-0.12,0.9940119773680232,1,4138.209674150557,0.13836,4138.209674150557,0.1380921246135991
0.13,0,0.13,0.07,-0.12,0.30050851056604516,1,1405.7867479145298,0.13836,1405.7867479145298,0.13811856263977604
0.17,0,0.17,0.1,-0.21,1.6966078811308876,1,2.326203780298265,281.5,2.326203780298265,280.71435380277507
0.2,0,0.2,0.08,-0.01,0.2400235345564627,1,65.26235947556927,3.3903,65.26235947556927,3.385944115041092
0.51,0,0.51,0.03,-0.07,0.8167334694688994,1,272.3523690393,0.6044196956342476,272.3523690393,0.6013
0.17,0,0.17,0.08,0.12,-0.17448294217387816,0,114.06629205156949,3.3759,114.06629205156949,3.376754482611414
