id,curId,ts,buyDiffBps,sellDiffBps,cexVol,serverBuy,serverSell,dexVolume,rejectReason,serverId,diff_ts,token
3,BASE_virtual_3e32,1759136291602,-9,1,33483.0,,,,,base,2025-09-29 08:58:11.602000+00:00,virtual
63,BASE_virtual_3e32,1759136293374,-7,0,33483.0,,,,,base,2025-09-29 08:58:13.374000+00:00,virtual
64,BASE_virtual_3e32,1759136303417,-6,-1,33492.0,,,,,base,2025-09-29 08:58:23.417000+00:00,virtual
106,BASE_virtual_3e32,1759136305552,-3,-4,33492.0,,,,,base,2025-09-29 08:58:25.552000+00:00,virtual
107,BASE_virtual_3e32,1759136314019,-3,-5,33552.0,,,,,base,2025-09-29 08:58:34.019000+00:00,virtual
149,BASE_virtual_3e32,1759136325455,-2,-6,33568.0,,,,,base,2025-09-29 08:58:45.455000+00:00,virtual
184,BASE_virtual_3e32,1759136337532,-1,-7,32703.0,,,,,base,2025-09-29 08:58:57.532000+00:00,virtual
233,BASE_virtual_3e32,1759136347187,-5,-2,32703.0,,,,,base,2025-09-29 08:59:07.187000+00:00,virtual
234,BASE_virtual_3e32,1759136349741,-5,-1,30461.0,,,,,base,2025-09-29 08:59:09.741000+00:00,virtual
272,BASE_virtual_3e32,1759136353529,-7,0,30461.0,,,,,base,2025-09-29 08:59:13.529000+00:00,virtual
273,BASE_virtual_3e32,1759136353650,-6,-1,30461.0,,,,,base,2025-09-29 08:59:13.650000+00:00,virtual
274,BASE_virtual_3e32,1759136354063,-8,1,30461.0,,,,,base,2025-09-29 08:59:14.063000+00:00,virtual
275,BASE_virtual_3e32,1759136355620,-7,1,30461.0,,,,,base,2025-09-29 08:59:15.620000+00:00,virtual
276,BASE_virtual_3e32,1759136361461,-9,1,31159.0,,,,,base,2025-09-29 08:59:21.461000+00:00,virtual
308,BASE_virtual_3e32,1759136361585,-11,3,31159.0,,,,,base,2025-09-29 08:59:21.585000+00:00,virtual
309,BASE_virtual_3e32,1759136361616,-13,5,31159.0,,,,,base,2025-09-29 08:59:21.616000+00:00,virtual
310,BASE_virtual_3e32,1759136363643,-9,4,31159.0,,,,,base,2025-09-29 08:59:23.643000+00:00,virtual
311,BASE_virtual_3e32,1759136367564,-6,2,31159.0,,,,,base,2025-09-29 08:59:27.564000+00:00,virtual
312,BASE_virtual_3e32,1759136370943,-10,4,31159.0,,,,,base,2025-09-29 08:59:30.943000+00:00,virtual
313,BASE_virtual_3e32,1759136371485,-11,5,32813.0,,,,,base,2025-09-29 08:59:31.485000+00:00,virtual
350,BASE_virtual_3e32,1759136373681,-9,4,32813.0,,,,,base,2025-09-29 08:59:33.681000+00:00,virtual
351,BASE_virtual_3e32,1759136378653,-8,2,32813.0,,,,,base,2025-09-29 08:59:38.653000+00:00,virtual
352,BASE_virtual_3e32,1759136381488,-8,3,32977.0,,,,,base,2025-09-29 08:59:41.488000+00:00,virtual
422,BASE_virtual_3e32,1759136389617,-6,1,32977.0,,,,,base,2025-09-29 08:59:49.617000+00:00,virtual
423,BASE_virtual_3e32,1759136391548,-7,2,32934.0,,,,,base,2025-09-29 08:59:51.548000+00:00,virtual
461,BASE_virtual_3e32,1759136400362,-10,4,32934.0,,,,,base,2025-09-29 09:00:00.362000+00:00,virtual
462,BASE_virtual_3e32,1759136401822,-8,3,32712.0,,,,,base,2025-09-29 09:00:01.822000+00:00,virtual
