serverId,token,tradeCount,matchedDiffCount,missingDiffCount,firstTradeAt,lastTradeAt
bnb,0g,1716,0,1716,2025-09-23 03:47:28.656000+00:00,2025-11-22 06:05:18.569000+00:00
bnb,1inch,1,0,1,2025-10-29 18:37:22.020000+00:00,2025-10-29 18:37:22.020000+00:00
bnb,aave,2526,66,2460,2025-08-18 17:51:18.874000+00:00,2025-11-22 16:49:28.821000+00:00
bnb,aitech,28,0,28,2025-08-19 02:58:38.371000+00:00,2025-11-05 02:56:18.123000+00:00
bnb,allo,281,20,261,2025-11-11 14:15:28.721000+00:00,2025-11-22 09:05:46.263000+00:00
bnb,aster,1183,74,1109,2025-10-13 11:06:34.514000+00:00,2025-11-22 13:11:08.513000+00:00
bnb,b2,16,0,16,2025-08-19 00:50:24.524000+00:00,2025-10-26 09:36:02.145000+00:00
bnb,bank,310,48,262,2025-08-19 02:52:22.511000+00:00,2025-11-21 16:39:50.257000+00:00
bnb,bard,50,0,50,2025-10-01 13:17:27.195000+00:00,2025-10-20 16:48:55.718000+00:00
bnb,bgsc,25,0,25,2025-08-19 02:12:53.448000+00:00,2025-08-28 17:00:31.272000+00:00
bnb,bmt,114,0,114,2025-08-18 23:06:27.818000+00:00,2025-11-20 13:31:32.487000+00:00
bnb,bnb,7811,466,7345,2025-08-18 15:50:15.708000+00:00,2025-11-22 16:42:41.857000+00:00
bnb,br,15,0,15,2025-08-19 02:51:17+00:00,2025-08-22 12:06:29.427000+00:00
bnb,broccoli714,24,0,24,2025-10-15 09:08:22.622000+00:00,2025-11-06 16:52:41.565000+00:00
bnb,btc,1203,50,1153,2025-08-18 22:06:44.808000+00:00,2025-11-22 10:16:15.094000+00:00
bnb,bubb,1,0,1,2025-10-23 15:13:25.523000+00:00,2025-10-23 15:13:25.523000+00:00
bnb,busd,11,0,11,2025-08-19 02:51:06.209000+00:00,2025-08-22 14:18:03.522000+00:00
bnb,cake,1601,93,1508,2025-08-18 22:19:19.566000+00:00,2025-11-22 14:40:59.980000+00:00
bnb,cgpt,408,3,405,2025-08-18 15:28:20.263000+00:00,2025-11-16 15:58:44.312000+00:00
bnb,cheems,2,0,2,2025-10-14 13:50:09.978000+00:00,2025-10-23 15:16:32.392000+00:00
bnb,coa,1,0,1,2025-08-20 21:35:39.735000+00:00,2025-08-20 21:35:39.735000+00:00
bnb,coai,1,0,1,2025-11-03 23:38:51.471000+00:00,2025-11-03 23:38:51.471000+00:00
bnb,doge,48,0,48,2025-08-22 14:18:38.445000+00:00,2025-09-19 04:06:22.618000+00:00
bnb,eden,1052,0,1052,2025-09-30 13:37:28.773000+00:00,2025-11-20 13:30:52.382000+00:00
bnb,egl1,5,0,5,2025-08-19 02:52:22.469000+00:00,2025-08-20 19:01:34.077000+00:00
bnb,era,784,114,670,2025-08-18 15:51:59.483000+00:00,2025-11-17 10:11:12.313000+00:00
bnb,eth,2565,158,2407,2025-08-18 15:28:06.831000+00:00,2025-11-22 14:51:24.212000+00:00
bnb,fair3,308,0,308,2025-08-19 02:40:33.822000+00:00,2025-11-22 08:50:03.531000+00:00
bnb,fdusd,53,0,53,2025-10-22 15:15:50.175000+00:00,2025-11-22 11:13:01.098000+00:00
