serverId,token,tradeCount,matchedDiffCount,missingDiffCount,firstTradeAt,lastTradeAt
polygonhttp-116-202-118-60-3001--mfxq1p4y,aave,2341,77,2264,2025-08-25 05:55:29.668000+00:00,2025-11-21 18:16:27.441000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,btc,4446,293,4153,2025-08-25 19:32:22.141000+00:00,2025-11-22 17:04:07.523000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,crv,252,3,249,2025-08-25 14:10:03.611000+00:00,2025-11-22 04:06:12.277000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,eth,7068,654,6414,2025-08-25 06:46:30.092000+00:00,2025-11-22 17:07:49.460000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,knc,2,0,2,2025-10-30 04:37:26.049000+00:00,2025-11-21 07:34:03.926000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,ldo,437,2,435,2025-08-25 06:07:20.134000+00:00,2025-11-21 14:47:16.959000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,link,2882,169,2713,2025-08-25 05:47:15.946000+00:00,2025-11-22 13:40:55.960000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,pol,8716,585,8131,2025-08-25 06:18:18.374000+00:00,2025-11-22 16:55:52.106000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,sol,2858,46,2812,2025-08-25 05:13:30.751000+00:00,2025-11-22 08:35:18.556000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,tel,1,0,1,2025-10-03 16:36:46.006000+00:00,2025-10-03 16:36:46.006000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,uni,2083,88,1995,2025-08-25 12:04:04.710000+00:00,2025-11-22 17:11:27.039000+00:00
polygonhttp-116-202-118-60-3001--mfxq1p4y,voxel,2162,11,2151,2025-09-23 20:58:43.573000+00:00,2025-11-22 16:39:27.919000+00:00
